room_type,bedrooms,number_of_reviews,review_scores_value,price,amenities
Private room,1,4,4.75,$37.00,"[""Mosquito net"", ""First aid kit"", ""Body soap"", ""Microwave"", ""Clothing storage: wardrobe and dresser"", ""Laundromat nearby"", ""Stove"", ""Coffee maker"", ""Mini fridge"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Essentials"", ""Hot water kettle"", ""Dedicated workspace"", ""Oven"", ""Toaster"", ""Freezer"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Air conditioning"", ""Cleaning products"", ""Dishes and silverware"", ""Dining table"", ""Hair dryer"", ""Cable TV"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Luggage dropoff allowed"", ""Iron"", ""Shampoo"", ""Ethernet connection"", ""Shower gel"", ""Kitchen"", ""Washer"", ""Wifi"", ""Conditioner""]"
Private room,1,0,,$37.00,"[""Essentials"", ""Lock on bedroom door"", ""Heating"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Free parking on premises"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,2,3,$37.00,"[""Essentials"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Dryer"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Air conditioning""]"
Private room,1,42,4.77,$37.00,"[""Essentials"", ""Refrigerator"", ""Microwave"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""TV"", ""Kitchen"", ""Free street parking"", ""Private entrance"", ""Hangers"", ""Air conditioning"", ""Coffee maker"", ""Lockbox"", ""Wifi"", ""Long term stays allowed""]"
Shared room,1,11,4.82,$37.00,"[""Hair dryer"", ""First aid kit"", ""Essentials"", ""Carbon monoxide alarm"", ""Cable TV"", ""Hot water"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""Fire extinguisher"", ""Kitchen"", ""Free street parking"", ""Long term stays allowed"", ""Dryer"", ""Hangers"", ""Washer"", ""Wifi"", ""Host greets you"", ""TV with standard cable"", ""Air conditioning""]"
Private room,1,7,4.8,$37.00,"[""First aid kit"", ""Body soap"", ""Microwave"", ""Laundromat nearby"", ""Stove"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Essentials"", ""Hot water kettle"", ""Dedicated workspace"", ""Oven"", ""Toaster"", ""Freezer"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Security cameras on property"", ""Cleaning products"", ""Dishes and silverware"", ""Dining table"", ""Bathtub"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Luggage dropoff allowed"", ""Iron"", ""Portable fans"", ""Kitchen"", ""Wifi"", ""Clothing storage: closet""]"
Private room,1,1,4,$37.00,"[""Hair dryer"", ""First aid kit"", ""Essentials"", ""Iron"", ""Cable TV"", ""Lock on bedroom door"", ""Heating"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""TV with standard cable""]"
Private room,1,61,4.97,$37.00,"[""First aid kit"", ""Microwave"", ""Stove"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV with standard cable"", ""Essentials"", ""Oven"", ""Backyard"", ""Pocket wifi"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Free parking on premises"", ""Air conditioning"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Cable TV"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Iron"", ""Shampoo"", ""Kitchen"", ""Wifi""]"
Private room,1,31,4.84,$37.00,"[""Laundromat nearby"", ""Table corner guards"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Essentials"", ""Lock on bedroom door"", ""Hot water"", ""Window guards"", ""Heating"", ""Smoke alarm"", ""Free street parking"", ""Private entrance"", ""Air conditioning"", ""Extra pillows and blankets"", ""Cleaning products"", ""Paid parking off premises"", ""Bathtub"", ""Bed linens"", ""Hangers"", ""Room-darkening shades"", ""Iron"", ""Shampoo"", ""Wifi"", ""Clothing storage: closet""]"
Private room,1,1,,$37.00,"[""First aid kit"", ""Indoor fireplace"", ""Gym"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Essentials"", ""Lock on bedroom door"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free parking on premises"", ""Air conditioning"", ""Hair dryer"", ""TV"", ""Hangers"", ""Iron"", ""Shampoo"", ""Kitchen"", ""Dryer"", ""Washer"", ""Wifi""]"
